image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC_0024387,0,1,0,0,0,0,0
ISIC_0024388,0,1,0,0,0,0,0
ISIC_0024389,0,1,0,0,0,0,0
ISIC_0024390,0,1,0,0,0,0,0
ISIC_0024391,0,1,0,0,0,0,0
ISIC_0024392,0,1,0,0,0,0,0
ISIC_0024393,0,1,0,0,0,0,0
ISIC_0024394,0,1,0,0,0,0,0
ISIC_0024395,0,1,0,0,0,0,0
ISIC_0024396,0,0,0,0,0,1,0
ISIC_0024397,0,1,0,0,0,0,0
ISIC_0024398,0,1,0,0,0,0,0
ISIC_0024399,0,1,0,0,0,0,0
ISIC_0024400,1,0,0,0,0,0,0
ISIC_0024401,0,1,0,0,0,0,0
ISIC_0024402,0,0,0,0,0,0,1
ISIC_0024403,0,0,1,0,0,0,0
ISIC_0024404,0,1,0,0,0,0,0
ISIC_0024405,0,1,0,0,0,0,0
ISIC_0024406,0,1,0,0,0,0,0
ISIC_0024407,0,1,0,0,0,0,0
ISIC_0024408,0,0,0,0,1,0,0
ISIC_0024409,0,0,0,0,1,0,0
ISIC_0024410,1,0,0,0,0,0,0
ISIC_0024411,0,0,1,0,0,0,0
ISIC_0024412,0,0,0,0,1,0,0
ISIC_0024413,0,1,0,0,0,0,0
ISIC_0024414,0,1,0,0,0,0,0
ISIC_0024415,0,1,0,0,0,0,0
ISIC_0024416,0,1,0,0,0,0,0
ISIC_0024417,0,1,0,0,0,0,0
ISIC_0024418,0,0,0,1,0,0,0
ISIC_0024419,0,1,0,0,0,0,0
ISIC_0024420,0,0,0,0,1,0,0
ISIC_0024421,0,1,0,0,0,0,0
ISIC_0024422,0,0,0,0,1,0,0
ISIC_0024423,0,1,0,0,0,0,0
ISIC_0024424,0,1,0,0,0,0,0
ISIC_0024425,0,1,0,0,0,0,0
ISIC_0024426,0,0,0,0,1,0,0
ISIC_0024427,0,1,0,0,0,0,0
ISIC_0024428,0,1,0,0,0,0,0
ISIC_0024429,0,1,0,0,0,0,0
ISIC_0024430,0,1,0,0,0,0,0
ISIC_0024431,0,0,1,0,0,0,0
ISIC_0024432,0,0,1,0,0,0,0
ISIC_0024433,0,1,0,0,0,0,0
ISIC_0024434,0,1,0,0,0,0,0
ISIC_0024435,0,0,0,0,1,0,0
ISIC_0024436,0,0,1,0,0,0,0
ISIC_0024437,0,1,0,0,0,0,0
ISIC_0024438,0,1,0,0,0,0,0
ISIC_0024439,0,1,0,0,0,0,0
ISIC_0024440,0,1,0,0,0,0,0
ISIC_0024441,0,1,0,0,0,0,0
ISIC_0024442,0,1,0,0,0,0,0
ISIC_0024443,0,0,1,0,0,0,0
ISIC_0024444,0,1,0,0,0,0,0
ISIC_0024445,0,0,0,0,1,0,0
ISIC_0024446,0,0,0,0,1,0,0
ISIC_0024447,0,1,0,0,0,0,0
ISIC_0024448,0,0,1,0,0,0,0
ISIC_0024449,1,0,0,0,0,0,0
ISIC_0024450,0,0,0,1,0,0,0
ISIC_0024451,0,1,0,0,0,0,0
ISIC_0024452,0,0,1,0,0,0,0
ISIC_0024453,0,0,0,0,1,0,0
ISIC_0024454,0,0,1,0,0,0,0
ISIC_0024455,0,1,0,0,0,0,0
ISIC_0024456,0,1,0,0,0,0,0
ISIC_0024457,0,0,1,0,0,0,0
ISIC_0024458,0,1,0,0,0,0,0
ISIC_0024459,1,0,0,0,0,0,0
ISIC_0024460,0,1,0,0,0,0,0
ISIC_0024461,0,0,1,0,0,0,0
ISIC_0024462,0,1,0,0,0,0,0
ISIC_0024463,0,0,0,1,0,0,0
ISIC_0024464,0,1,0,0,0,0,0
ISIC_0024465,0,1,0,0,0,0,0
ISIC_0024466,0,1,0,0,0,0,0
ISIC_0024467,0,1,0,0,0,0,0
ISIC_0024468,0,0,0,1,0,0,0
ISIC_0024469,0,1,0,0,0,0,0
ISIC_0024470,0,0,0,1,0,0,0
ISIC_0024471,0,0,0,0,1,0,0
ISIC_0024472,0,0,1,0,0,0,0
ISIC_0024473,0,1,0,0,0,0,0
ISIC_0024474,0,1,0,0,0,0,0
ISIC_0024475,0,0,0,0,0,0,1
ISIC_0024476,0,1,0,0,0,0,0
ISIC_0024477,0,0,0,0,1,0,0
ISIC_0024478,0,1,0,0,0,0,0
ISIC_0024479,0,1,0,0,0,0,0
ISIC_0024480,0,1,0,0,0,0,0
ISIC_0024481,1,0,0,0,0,0,0
ISIC_0024482,1,0,0,0,0,0,0
ISIC_0024483,0,1,0,0,0,0,0
ISIC_0024484,0,1,0,0,0,0,0
ISIC_0024485,0,1,0,0,0,0,0
ISIC_0024486,0,1,0,0,0,0,0
ISIC_0024487,0,1,0,0,0,0,0
ISIC_0024488,0,1,0,0,0,0,0
ISIC_0024489,0,0,0,0,1,0,0
ISIC_0024490,0,0,0,0,1,0,0
ISIC_0024491,0,1,0,0,0,0,0
ISIC_0024492,0,1,0,0,0,0,0
ISIC_0024493,0,1,0,0,0,0,0
ISIC_0024494,0,0,0,0,1,0,0
ISIC_0024495,0,0,0,0,1,0,0
ISIC_0024496,1,0,0,0,0,0,0
ISIC_0024497,0,1,0,0,0,0,0
ISIC_0024498,0,0,0,0,1,0,0
ISIC_0024499,0,1,0,0,0,0,0
ISIC_0024500,0,1,0,0,0,0,0
ISIC_0024501,0,1,0,0,0,0,0
ISIC_0024502,0,1,0,0,0,0,0
ISIC_0024503,0,1,0,0,0,0,0
ISIC_0024504,0,0,1,0,0,0,0
ISIC_0024505,0,0,0,0,1,0,0
ISIC_0024506,0,1,0,0,0,0,0
ISIC_0024507,0,1,0,0,0,0,0
ISIC_0024508,0,1,0,0,0,0,0
ISIC_0024509,0,1,0,0,0,0,0
ISIC_0024510,0,1,0,0,0,0,0
ISIC_0024511,0,0,0,1,0,0,0
ISIC_0024512,0,1,0,0,0,0,0
ISIC_0024513,0,1,0,0,0,0,0
ISIC_0024514,0,1,0,0,0,0,0
ISIC_0024515,0,0,1,0,0,0,0
ISIC_0024516,1,0,0,0,0,0,0
ISIC_0024517,0,0,0,1,0,0,0
ISIC_0024518,0,1,0,0,0,0,0
ISIC_0024519,0,1,0,0,0,0,0
ISIC_0024520,0,1,0,0,0,0,0
ISIC_0024521,0,1,0,0,0,0,0
ISIC_0024522,0,0,0,1,0,0,0
ISIC_0024523,0,1,0,0,0,0,0
ISIC_0024524,0,1,0,0,0,0,0
ISIC_0024525,1,0,0,0,0,0,0
ISIC_0024526,0,1,0,0,0,0,0
ISIC_0024527,0,1,0,0,0,0,0
ISIC_0024528,0,1,0,0,0,0,0
ISIC_0024529,0,1,0,0,0,0,0
ISIC_0024530,0,1,0,0,0,0,0
ISIC_0024531,0,1,0,0,0,0,0
ISIC_0024532,0,1,0,0,0,0,0
ISIC_0024533,0,1,0,0,0,0,0
ISIC_0024534,0,1,0,0,0,0,0
ISIC_0024535,0,1,0,0,0,0,0
ISIC_0024536,0,1,0,0,0,0,0
ISIC_0024537,1,0,0,0,0,0,0
ISIC_0024538,0,1,0,0,0,0,0
ISIC_0024539,0,0,0,1,0,0,0
ISIC_0024540,0,1,0,0,0,0,0
ISIC_0024541,0,1,0,0,0,0,0
ISIC_0024542,0,1,0,0,0,0,0
ISIC_0024543,0,1,0,0,0,0,0
ISIC_0024544,0,1,0,0,0,0,0
ISIC_0024545,1,0,0,0,0,0,0
ISIC_0024546,1,0,0,0,0,0,0
ISIC_0024547,0,0,0,0,1,0,0
ISIC_0024548,0,1,0,0,0,0,0
ISIC_0024549,0,1,0,0,0,0,0
ISIC_0024550,0,0,1,0,0,0,0
ISIC_0024551,0,1,0,0,0,0,0
ISIC_0024552,1,0,0,0,0,0,0
ISIC_0024553,0,0,0,0,0,1,0
ISIC_0024554,1,0,0,0,0,0,0
ISIC_0024555,0,1,0,0,0,0,0
ISIC_0024556,0,1,0,0,0,0,0
ISIC_0024557,0,1,0,0,0,0,0
ISIC_0024558,0,1,0,0,0,0,0
ISIC_0024559,0,1,0,0,0,0,0
ISIC_0024560,0,1,0,0,0,0,0
ISIC_0024561,0,1,0,0,0,0,0
ISIC_0024562,0,0,0,1,0,0,0
ISIC_0024563,0,1,0,0,0,0,0
ISIC_0024564,0,0,1,0,0,0,0
ISIC_0024565,0,1,0,0,0,0,0
ISIC_0024566,0,1,0,0,0,0,0
ISIC_0024567,0,1,0,0,0,0,0
ISIC_0024568,0,1,0,0,0,0,0
ISIC_0024569,0,1,0,0,0,0,0
ISIC_0024570,0,1,0,0,0,0,0
ISIC_0024571,1,0,0,0,0,0,0
ISIC_0024572,0,0,1,0,0,0,0
ISIC_0024573,0,0,1,0,0,0,0
ISIC_0024574,0,1,0,0,0,0,0
ISIC_0024575,0,0,0,1,0,0,0
ISIC_0024576,0,1,0,0,0,0,0
ISIC_0024577,0,1,0,0,0,0,0
ISIC_0024578,0,1,0,0,0,0,0
ISIC_0024579,0,0,0,1,0,0,0
ISIC_0024580,0,1,0,0,0,0,0
ISIC_0024581,0,0,0,0,1,0,0
ISIC_0024582,0,0,1,0,0,0,0
ISIC_0024583,0,1,0,0,0,0,0
ISIC_0024584,0,1,0,0,0,0,0
ISIC_0024585,0,1,0,0,0,0,0
ISIC_0024586,1,0,0,0,0,0,0
ISIC_0024587,0,1,0,0,0,0,0
ISIC_0024588,0,1,0,0,0,0,0
ISIC_0024589,0,1,0,0,0,0,0
ISIC_0024590,0,0,1,0,0,0,0
ISIC_0024591,0,1,0,0,0,0,0
ISIC_0024592,0,0,0,0,1,0,0
ISIC_0024593,0,1,0,0,0,0,0
ISIC_0024594,0,1,0,0,0,0,0
ISIC_0024595,0,0,1,0,0,0,0
ISIC_0024596,0,1,0,0,0,0,0
ISIC_0024597,0,1,0,0,0,0,0
ISIC_0024598,0,1,0,0,0,0,0
ISIC_0024599,0,1,0,0,0,0,0
ISIC_0024600,0,1,0,0,0,0,0
ISIC_0024601,0,1,0,0,0,0,0
ISIC_0024602,0,0,0,0,1,0,0
ISIC_0024603,0,1,0,0,0,0,0
ISIC_0024604,0,1,0,0,0,0,0
ISIC_0024605,0,1,0,0,0,0,0
ISIC_0024606,0,1,0,0,0,0,0
ISIC_0024607,0,1,0,0,0,0,0
ISIC_0024608,0,1,0,0,0,0,0
ISIC_0024609,0,1,0,0,0,0,0
ISIC_0024610,0,1,0,0,0,0,0
ISIC_0024611,0,1,0,0,0,0,0
ISIC_0024612,0,0,0,0,1,0,0
ISIC_0024613,0,1,0,0,0,0,0
ISIC_0024614,0,1,0,0,0,0,0
ISIC_0024615,0,1,0,0,0,0,0
ISIC_0024616,0,1,0,0,0,0,0
ISIC_0024617,0,1,0,0,0,0,0
ISIC_0024618,0,1,0,0,0,0,0
ISIC_0024619,0,1,0,0,0,0,0
ISIC_0024620,0,1,0,0,0,0,0
ISIC_0024621,0,1,0,0,0,0,0
ISIC_0024622,0,1,0,0,0,0,0
ISIC_0024623,0,0,0,0,1,0,0
ISIC_0024624,1,0,0,0,0,0,0
ISIC_0024625,0,1,0,0,0,0,0
ISIC_0024626,0,0,0,0,1,0,0
ISIC_0024627,0,1,0,0,0,0,0
ISIC_0024628,0,1,0,0,0,0,0
ISIC_0024629,0,1,0,0,0,0,0
ISIC_0024630,1,0,0,0,0,0,0
ISIC_0024631,0,1,0,0,0,0,0
ISIC_0024632,0,0,1,0,0,0,0
ISIC_0024633,0,1,0,0,0,0,0
ISIC_0024634,0,0,1,0,0,0,0
ISIC_0024635,0,0,0,0,1,0,0
ISIC_0024636,0,1,0,0,0,0,0
ISIC_0024637,0,1,0,0,0,0,0
ISIC_0024638,0,1,0,0,0,0,0
ISIC_0024639,0,1,0,0,0,0,0
ISIC_0024640,1,0,0,0,0,0,0
ISIC_0024641,0,1,0,0,0,0,0
ISIC_0024642,0,1,0,0,0,0,0
ISIC_0024643,0,0,0,0,1,0,0
ISIC_0024644,1,0,0,0,0,0,0
ISIC_0024645,0,1,0,0,0,0,0
ISIC_0024646,0,0,0,1,0,0,0
ISIC_0024647,1,0,0,0,0,0,0
ISIC_0024648,0,1,0,0,0,0,0
ISIC_0024649,0,1,0,0,0,0,0
ISIC_0024650,0,1,0,0,0,0,0
ISIC_0024651,0,1,0,0,0,0,0
ISIC_0024652,1,0,0,0,0,0,0
ISIC_0024653,0,1,0,0,0,0,0
ISIC_0024654,0,0,0,1,0,0,0
ISIC_0024655,0,1,0,0,0,0,0
ISIC_0024656,0,1,0,0,0,0,0
ISIC_0024657,0,1,0,0,0,0,0
ISIC_0024658,0,1,0,0,0,0,0
ISIC_0024659,0,1,0,0,0,0,0
ISIC_0024660,0,1,0,0,0,0,0
ISIC_0024661,0,1,0,0,0,0,0
ISIC_0024662,0,0,0,0,0,0,1
ISIC_0024663,0,1,0,0,0,0,0
ISIC_0024664,0,1,0,0,0,0,0
ISIC_0024665,0,0,1,0,0,0,0
ISIC_0024666,0,0,1,0,0,0,0
ISIC_0024667,0,1,0,0,0,0,0
ISIC_0024668,0,1,0,0,0,0,0
ISIC_0024669,0,0,0,0,0,0,1
ISIC_0024670,0,1,0,0,0,0,0
ISIC_0024671,0,1,0,0,0,0,0
ISIC_0024672,0,0,0,0,1,0,0
ISIC_0024673,0,0,1,0,0,0,0
ISIC_0024674,0,1,0,0,0,0,0
ISIC_0024675,1,0,0,0,0,0,0
ISIC_0024676,0,0,0,0,1,0,0
ISIC_0024677,0,1,0,0,0,0,0
ISIC_0024678,0,1,0,0,0,0,0
ISIC_0024679,1,0,0,0,0,0,0
ISIC_0024680,0,1,0,0,0,0,0
ISIC_0024681,0,1,0,0,0,0,0
ISIC_0024682,0,1,0,0,0,0,0
ISIC_0024683,0,1,0,0,0,0,0
ISIC_0024684,0,1,0,0,0,0,0
ISIC_0024685,0,1,0,0,0,0,0
ISIC_0024686,0,1,0,0,0,0,0
ISIC_0024687,0,1,0,0,0,0,0
ISIC_0024688,1,0,0,0,0,0,0
ISIC_0024689,0,1,0,0,0,0,0
ISIC_0024690,0,1,0,0,0,0,0
ISIC_0024691,0,1,0,0,0,0,0
ISIC_0024692,0,1,0,0,0,0,0
ISIC_0024693,0,1,0,0,0,0,0
ISIC_0024694,0,1,0,0,0,0,0
ISIC_0024695,0,1,0,0,0,0,0
ISIC_0024696,0,0,0,0,1,0,0
ISIC_0024697,0,1,0,0,0,0,0
ISIC_0024698,0,1,0,0,0,0,0
ISIC_0024699,0,1,0,0,0,0,0
ISIC_0024700,1,0,0,0,0,0,0
ISIC_0024701,1,0,0,0,0,0,0
ISIC_0024702,1,0,0,0,0,0,0
ISIC_0024703,0,1,0,0,0,0,0
ISIC_0024704,0,1,0,0,0,0,0
ISIC_0024705,0,0,0,0,1,0,0
ISIC_0024706,0,0,0,0,0,0,1
ISIC_0024707,0,0,0,1,0,0,0
ISIC_0024708,0,0,0,0,1,0,0
ISIC_0024709,0,0,0,0,1,0,0
ISIC_0024710,0,0,0,1,0,0,0
ISIC_0024711,0,0,0,0,1,0,0
ISIC_0024712,0,1,0,0,0,0,0
ISIC_0024713,0,1,0,0,0,0,0
ISIC_0024714,0,1,0,0,0,0,0
ISIC_0024715,0,1,0,0,0,0,0
ISIC_0024716,0,1,0,0,0,0,0
ISIC_0024717,0,1,0,0,0,0,0
ISIC_0024718,0,1,0,0,0,0,0
ISIC_0024719,0,1,0,0,0,0,0
ISIC_0024720,0,1,0,0,0,0,0
ISIC_0024721,0,1,0,0,0,0,0
ISIC_0024722,0,1,0,0,0,0,0
ISIC_0024723,0,1,0,0,0,0,0
ISIC_0024724,0,1,0,0,0,0,0
ISIC_0024725,0,1,0,0,0,0,0
ISIC_0024726,0,0,0,0,1,0,0
ISIC_0024727,0,1,0,0,0,0,0
ISIC_0024728,0,1,0,0,0,0,0
ISIC_0024729,1,0,0,0,0,0,0
ISIC_0024730,0,1,0,0,0,0,0
ISIC_0024731,0,1,0,0,0,0,0
ISIC_0024732,1,0,0,0,0,0,0
ISIC_0024733,1,0,0,0,0,0,0
ISIC_0024734,0,1,0,0,0,0,0
ISIC_0024735,0,1,0,0,0,0,0
ISIC_0024736,0,1,0,0,0,0,0
ISIC_0024737,0,1,0,0,0,0,0
ISIC_0024738,0,1,0,0,0,0,0
ISIC_0024739,1,0,0,0,0,0,0
ISIC_0024740,0,0,0,0,1,0,0
ISIC_0024741,0,0,0,0,1,0,0
ISIC_0024742,0,1,0,0,0,0,0
ISIC_0024743,0,0,1,0,0,0,0
ISIC_0024744,0,1,0,0,0,0,0
ISIC_0024745,0,1,0,0,0,0,0
ISIC_0024746,0,1,0,0,0,0,0
ISIC_0024747,0,0,0,0,0,0,1
ISIC_0024748,0,0,0,0,1,0,0
ISIC_0024749,0,1,0,0,0,0,0
ISIC_0024750,0,1,0,0,0,0,0
ISIC_0024751,0,1,0,0,0,0,0
ISIC_0024752,0,1,0,0,0,0,0
ISIC_0024753,0,1,0,0,0,0,0
ISIC_0024754,0,1,0,0,0,0,0
ISIC_0024755,0,1,0,0,0,0,0
ISIC_0024756,1,0,0,0,0,0,0
ISIC_0024757,0,1,0,0,0,0,0
ISIC_0024758,0,0,0,0,1,0,0
ISIC_0024759,0,1,0,0,0,0,0
ISIC_0024760,0,0,0,0,1,0,0
ISIC_0024761,0,0,0,0,1,0,0
ISIC_0024762,0,1,0,0,0,0,0
ISIC_0024763,0,0,0,1,0,0,0
ISIC_0024764,0,1,0,0,0,0,0
ISIC_0024765,0,1,0,0,0,0,0
ISIC_0024766,0,1,0,0,0,0,0
ISIC_0024767,1,0,0,0,0,0,0
ISIC_0024768,0,1,0,0,0,0,0
ISIC_0024769,0,1,0,0,0,0,0
ISIC_0024770,0,0,0,0,1,0,0
ISIC_0024771,0,0,0,1,0,0,0
ISIC_0024772,0,0,0,0,1,0,0
ISIC_0024773,0,0,0,0,1,0,0
ISIC_0024774,0,0,0,0,1,0,0
ISIC_0024775,0,1,0,0,0,0,0
ISIC_0024776,0,1,0,0,0,0,0
ISIC_0024777,0,1,0,0,0,0,0
ISIC_0024778,0,1,0,0,0,0,0
ISIC_0024779,0,1,0,0,0,0,0
ISIC_0024780,0,1,0,0,0,0,0
ISIC_0024781,0,1,0,0,0,0,0
ISIC_0024782,0,0,0,0,1,0,0
ISIC_0024783,0,1,0,0,0,0,0
ISIC_0024784,0,1,0,0,0,0,0
ISIC_0024785,0,1,0,0,0,0,0
ISIC_0024786,0,0,0,0,1,0,0
ISIC_0024787,0,0,1,0,0,0,0
ISIC_0024788,0,1,0,0,0,0,0
ISIC_0024789,0,1,0,0,0,0,0
ISIC_0024790,0,1,0,0,0,0,0
ISIC_0024791,0,1,0,0,0,0,0
ISIC_0024792,1,0,0,0,0,0,0
ISIC_0024793,0,1,0,0,0,0,0
ISIC_0024794,0,1,0,0,0,0,0
ISIC_0024795,0,0,1,0,0,0,0
ISIC_0024796,0,1,0,0,0,0,0
ISIC_0024797,0,1,0,0,0,0,0
ISIC_0024798,0,1,0,0,0,0,0
ISIC_0024799,0,0,1,0,0,0,0
ISIC_0024800,0,0,0,1,0,0,0
ISIC_0024801,0,1,0,0,0,0,0
ISIC_0024802,0,1,0,0,0,0,0
ISIC_0024803,0,1,0,0,0,0,0
ISIC_0024804,0,1,0,0,0,0,0
ISIC_0024805,1,0,0,0,0,0,0
ISIC_0024806,1,0,0,0,0,0,0
ISIC_0024807,0,1,0,0,0,0,0
ISIC_0024808,0,1,0,0,0,0,0
ISIC_0024809,0,1,0,0,0,0,0
ISIC_0024810,0,1,0,0,0,0,0
ISIC_0024811,0,1,0,0,0,0,0
ISIC_0024812,0,1,0,0,0,0,0
ISIC_0024813,0,1,0,0,0,0,0
ISIC_0024814,0,0,0,0,1,0,0
ISIC_0024815,0,1,0,0,0,0,0
ISIC_0024816,0,1,0,0,0,0,0
ISIC_0024817,0,1,0,0,0,0,0
ISIC_0024818,0,1,0,0,0,0,0
ISIC_0024819,0,1,0,0,0,0,0
ISIC_0024820,0,1,0,0,0,0,0
ISIC_0024821,0,1,0,0,0,0,0
ISIC_0024822,0,1,0,0,0,0,0
ISIC_0024823,1,0,0,0,0,0,0
ISIC_0024824,0,1,0,0,0,0,0
ISIC_0024825,0,0,0,0,1,0,0
ISIC_0024826,0,1,0,0,0,0,0
ISIC_0024827,0,1,0,0,0,0,0
ISIC_0024828,0,1,0,0,0,0,0
ISIC_0024829,0,0,1,0,0,0,0
ISIC_0024830,0,1,0,0,0,0,0
ISIC_0024831,0,1,0,0,0,0,0
ISIC_0024832,0,0,0,0,1,0,0
ISIC_0024833,0,0,1,0,0,0,0
ISIC_0024834,0,1,0,0,0,0,0
ISIC_0024835,0,1,0,0,0,0,0
ISIC_0024836,0,1,0,0,0,0,0
ISIC_0024837,0,1,0,0,0,0,0
ISIC_0024838,0,1,0,0,0,0,0
ISIC_0024839,0,0,0,0,1,0,0
ISIC_0024840,0,1,0,0,0,0,0
ISIC_0024841,0,1,0,0,0,0,0
ISIC_0024842,0,1,0,0,0,0,0
ISIC_0024843,0,0,0,1,0,0,0
ISIC_0024844,0,1,0,0,0,0,0
ISIC_0024845,0,0,0,0,0,1,0
ISIC_0024846,0,1,0,0,0,0,0
ISIC_0024847,0,1,0,0,0,0,0
ISIC_0024848,0,0,1,0,0,0,0
ISIC_0024849,0,1,0,0,0,0,0
ISIC_0024850,0,0,0,0,1,0,0
ISIC_0024851,0,0,0,0,1,0,0
ISIC_0024852,0,1,0,0,0,0,0
ISIC_0024853,1,0,0,0,0,0,0
ISIC_0024854,0,1,0,0,0,0,0
ISIC_0024855,0,1,0,0,0,0,0
ISIC_0024856,0,1,0,0,0,0,0
ISIC_0024857,0,1,0,0,0,0,0
ISIC_0024858,0,1,0,0,0,0,0
ISIC_0024859,0,1,0,0,0,0,0
ISIC_0024860,0,1,0,0,0,0,0
ISIC_0024861,0,1,0,0,0,0,0
ISIC_0024862,0,1,0,0,0,0,0
ISIC_0024863,0,1,0,0,0,0,0
ISIC_0024864,1,0,0,0,0,0,0
ISIC_0024865,1,0,0,0,0,0,0
ISIC_0024866,0,1,0,0,0,0,0
ISIC_0024867,0,0,0,0,0,0,1
ISIC_0024868,0,1,0,0,0,0,0
ISIC_0024869,0,1,0,0,0,0,0
ISIC_0024870,0,1,0,0,0,0,0
ISIC_0024871,0,0,0,0,1,0,0
ISIC_0024872,0,1,0,0,0,0,0
ISIC_0024873,0,1,0,0,0,0,0
ISIC_0024874,0,1,0,0,0,0,0
ISIC_0024875,1,0,0,0,0,0,0
ISIC_0024876,0,1,0,0,0,0,0
ISIC_0024877,0,0,0,0,1,0,0
ISIC_0024878,0,1,0,0,0,0,0
ISIC_0024879,0,1,0,0,0,0,0
ISIC_0024880,0,0,0,0,1,0,0
ISIC_0024881,0,0,0,0,1,0,0
ISIC_0024882,0,1,0,0,0,0,0
ISIC_0024883,0,0,0,0,1,0,0
ISIC_0024884,0,1,0,0,0,0,0
ISIC_0024885,0,0,1,0,0,0,0
ISIC_0024886,1,0,0,0,0,0,0
ISIC_0024887,0,1,0,0,0,0,0
ISIC_0024888,0,1,0,0,0,0,0
ISIC_0024889,0,1,0,0,0,0,0
ISIC_0024890,0,0,0,0,1,0,0
ISIC_0024891,0,1,0,0,0,0,0
ISIC_0024892,0,1,0,0,0,0,0
